test = sources 40+ (unseen photos / people); AUROC, 0.5 = chance
question        zero-shot vision-only  best LM layer   by layer L0 L2 L4 L6 L8 L10 L12 L14 L16 L18 L20 L22 L24 L24
cam_backward        0.472       0.972     0.880 (L8 )   0.49 0.88 0.86 0.87 0.88 0.87 0.83 0.84 0.86 0.84 0.83 0.82 0.84 0.84
cam_forward         0.541       0.894     0.898 (L4 )   0.47 0.87 0.90 0.86 0.85 0.83 0.81 0.84 0.85 0.85 0.84 0.83 0.85 0.85
cam_moving          0.756       0.912     0.999 (L24)   0.48 0.99 0.99 0.99 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00
cam_pan_left        0.697       0.882     0.894 (L10)   0.52 0.84 0.84 0.84 0.86 0.89 0.86 0.86 0.87 0.89 0.89 0.89 0.88 0.88
cam_pan_right       0.848       0.881     0.942 (L22)   0.50 0.81 0.83 0.80 0.82 0.81 0.81 0.90 0.93 0.94 0.93 0.94 0.94 0.94
obj_approach        0.545       0.938     0.814 (L24)   0.47 0.72 0.81 0.81 0.81 0.80 0.79 0.77 0.77 0.79 0.79 0.81 0.81 0.81
obj_left            0.687       0.908     0.901 (L14)   0.52 0.84 0.87 0.88 0.85 0.85 0.87 0.90 0.88 0.86 0.85 0.86 0.87 0.87
obj_moving          0.642       0.886     0.953 (L10)   0.48 0.88 0.91 0.92 0.93 0.95 0.95 0.95 0.93 0.92 0.92 0.92 0.92 0.92
obj_recede          0.629       0.914     0.902 (L10)   0.49 0.81 0.85 0.87 0.88 0.90 0.85 0.87 0.87 0.87 0.84 0.84 0.82 0.82
obj_right           0.708       0.905     0.896 (L4 )   0.50 0.82 0.90 0.88 0.87 0.87 0.88 0.88 0.87 0.86 0.87 0.86 0.85 0.85
